"subject_id","treatment_id","paper_id","choice","endowment","cooperation"
"2020Bas115_2a_rmmi27","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_sbaf19","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_uari14","2020Bas115_2a","2020Bas115",3,10,0.3
"2020Bas115_2a_ubka03","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_ubmo02","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_ueao29","2020Bas115_2a","2020Bas115",4,10,0.4
"2020Bas115_2a_ushi13","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_ustu15","2020Bas115_2a","2020Bas115",3,10,0.3
"2020Bas115_2a_utao29","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_utva04","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_vasb28","2020Bas115_2a","2020Bas115",4,10,0.4
"2020Bas115_2a_vpmu27","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_ytca09","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_1a_aaar13","2020Bas115_1a","2020Bas115",5,10,0.5
"2020Bas115_1a_aahr03","2020Bas115_1a","2020Bas115",5,10,0.5
"2020Bas115_1a_aavr09","2020Bas115_1a","2020Bas115",0,10,0
"2020Bas115_1a_aawo25","2020Bas115_1a","2020Bas115",4,10,0.4
"2020Bas115_1a_abcn29","2020Bas115_1a","2020Bas115",0,10,0
"2020Bas115_1a_abco29","2020Bas115_1a","2020Bas115",5,10,0.5
"2020Bas115_1a_abdo25","2020Bas115_1a","2020Bas115",5,10,0.5
