"subject_id","treatment_id","paper_id","choice","endowment","cooperation","gender","age"
"2020Bas115_1a_aahr03","2020Bas115_1a","2020Bas115",5,10,0.5,1,24
"2020Bas115_1a_aavr09","2020Bas115_1a","2020Bas115",0,10,0,1,22
"2020Bas115_1a_aawo25","2020Bas115_1a","2020Bas115",4,10,0.4,0,36
"2020Bas115_1a_abcn29","2020Bas115_1a","2020Bas115",0,10,0,0,23
"2020Bas115_1a_abco29","2020Bas115_1a","2020Bas115",5,10,0.5,1,25
"2020Bas115_1a_abdo25","2020Bas115_1a","2020Bas115",5,10,0.5,1,24
"2020Bas115_1a_abju25","2020Bas115_1a","2020Bas115",4,10,0.4,0,30
"2020Bas115_1a_abmt22","2020Bas115_1a","2020Bas115",5,10,0.5,0,27
"2020Bas115_1a_aboo18","2020Bas115_1a","2020Bas115",5,10,0.5,1,28
"2020Bas115_1a_abwt17","2020Bas115_1a","2020Bas115",5,10,0.5,0,25
"2020Bas115_1a_acje13","2020Bas115_1a","2020Bas115",3,10,0.3,0,22
"2020Bas115_1a_adgu03","2020Bas115_1a","2020Bas115",5,10,0.5,0,28
"2020Bas115_1a_aehr08","2020Bas115_1a","2020Bas115",5,10,0.5,0,27
"2020Bas115_1a_agdc16","2020Bas115_1a","2020Bas115",4,10,0.4,1,24
"2020Bas115_1a_agga18","2020Bas115_1a","2020Bas115",5,10,0.5,1,24
"2020Bas115_1a_agho14","2020Bas115_1a","2020Bas115",5,10,0.5,1,24
"2020Bas115_1a_agoo23","2020Bas115_1a","2020Bas115",5,10,0.5,0,36
"2020Bas115_1a_aida08","2020Bas115_1a","2020Bas115",5,10,0.5,1,27
"2020Bas115_1a_aimo13","2020Bas115_1a","2020Bas115",5,10,0.5,1,22
"2020Bas115_1a_akja06","2020Bas115_1a","2020Bas115",5,10,0.5,0,22
"2020Bas115_1a_akmo15","2020Bas115_1a","2020Bas115",5,10,0.5,1,24
"2020Bas115_1a_akno23","2020Bas115_1a","2020Bas115",0,10,0,0,26
"2020Bas115_1a_amra13","2020Bas115_1a","2020Bas115",5,10,0.5,1,26
"2020Bas115_1a_amtu29","2020Bas115_1a","2020Bas115",5,10,0.5,1,24
"2020Bas115_1a_amwa20","2020Bas115_1a","2020Bas115",5,10,0.5,0,25
"2020Bas115_1a_amwu22","2020Bas115_1a","2020Bas115",4,10,0.4,0,21
"2020Bas115_1a_aodi09","2020Bas115_1a","2020Bas115",5,10,0.5,0,23
"2020Bas115_1a_apfo19","2020Bas115_1a","2020Bas115",5,10,0.5,1,21
"2020Bas115_1a_asdu12","2020Bas115_1a","2020Bas115",5,10,0.5,0,29
"2020Bas115_1a_ashe14","2020Bas115_1a","2020Bas115",5,10,0.5,1,24
"2020Bas115_1a_asit10","2020Bas115_1a","2020Bas115",5,10,0.5,0,31
"2020Bas115_1a_asko17","2020Bas115_1a","2020Bas115",3,10,0.3,1,20
"2020Bas115_1a_asko29","2020Bas115_1a","2020Bas115",5,10,0.5,0,24
"2020Bas115_1a_atbu30","2020Bas115_1a","2020Bas115",5,10,0.5,0,30
"2020Bas115_1a_atkr26","2020Bas115_1a","2020Bas115",5,10,0.5,1,22
"2020Bas115_1a_atra26","2020Bas115_1a","2020Bas115",4,10,0.4,0,30
"2020Bas115_1a_avna11","2020Bas115_1a","2020Bas115",0,10,0,0,30
