"PaperID","TreatmentCode","n_Paper","TreatmentName_paper","Year","Outlet","Published","FirstTask","between_vs_within","Game_type","Standard_game","Baseline","Group_size","One_Shot_Repeated","Choice_Method","Matching","Rounds","Punishment","Rewards","Monetary_Incentivized_experiment","Environment","Method_elicitation","Separate_sample_beliefs","Belief_repeated","Before_after_main_decisions","KW_Normative","KW_Personal","Bicchieri_Empirical","Bicchieri_Normative","Bicchieri_Personal_Beliefs","Bicchieri_between","Incentives_beliefs","StatusTreatment_Roma","Avg_coop","Var_coop","Avg_NE","Var_NE","Avg_EE","Var_EE","Avg_PNB","Var_PNB","Avg_KW_m","Sd_Avg_NE","Sd_Avg_NE_min_max","specificity_plus","specificity_min","max_sigma"
"2017Del037","2",37,"In Treatment",2017,"GAMES","Published","N","between","DG","N",NA,"2","OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.24130713036963,0.0341570076306669,0.166666666666667,0.34005376344086,NA,NA,NA,NA,0.604166666666667,0.49399084106712,0.375,0.354166666666667,0.347222222222222,1.01600101600152
"2017Del037","1",37,"Base",2017,"GAMES","Published","N","between","DG","N",NA,"2","OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.238537898882726,0.0313350890328223,0.5,0.245210727969349,NA,NA,NA,NA,0.333333333333333,0.473842536050947,0.0444444444444445,0.0222222222222222,0.42962962962963,1.01709525543122
"2015Ves034","4",34,"KW_Incentivized",2015,"JDM","Published","N","between","UG","Y",NA,NA,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","N","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.0358543417366947,NA,NA,NA,NA,0.942857142857143,0.593240283712889,0.933333333333333,0.653968253968254,0.495238095238095,1.01418510567422
"2015Ves034","1",34,"KW_Incentivized",2015,"JDM","Published","Y","between","UG","Y",NA,NA,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","N","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.047534165181224,NA,NA,NA,NA,0.92156862745098,0.559799941296557,0.843137254901961,0.583333333333333,0.4,1.0150384378451
"2017Tho028","2",28,"Asym",2017,"JEBO","Published","Y","between","DG","N",0,"2","Repeated","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.186666666666667,0.0311685393258427,0.5,0.0623781676413255,NA,NA,NA,NA,0.929824561403509,0.663113880497985,0.81203007518797,0.614035087719298,0.395989974937343,1.00375235839946
"2017Tho028","1",28,"Base",2017,"JEBO","Published","Y","between","DG","N",1,"2","Repeated","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.204716981132075,0.0303138606676343,0.5,0.0967585873246251,NA,NA,NA,NA,0.924528301886792,0.626359523690037,0.880503144654088,0.691823899371069,0.345911949685535,1.00938987736568
"2019Cha026","3",26,"subset initial allocation 5-5",2019,"GEB","Published","N","between","ToG","Subset",NA,"2","Repeated","Direct","S",11,"N","N","Y","Online","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.326315789473684,0.0837261294829995,0.5,0.094184394220934,NA,NA,NA,NA,0.766666675607363,0.543356347405938,0.416666673185925,0.30333333692203,0.431250007124618,1.01058230527982
"2019Cha026","2",26,"Tax-framed",2019,"GEB","Published","N","between","DG","Partially - Varying endowment betw D R",0,"2","Repeated","Direct","S",11,"N","N","Y","Online","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.32258064516129,0.0808976157082749,0.5,0.465126297975426,NA,NA,NA,NA,0.525714287587575,0.30998904985853,0.52000000412975,0.403809524859701,0.227619047853209,1.00722031037067
"2019Cha026","1",26,"Neutrally-framed",2019,"GEB","Published","N","between","DG","Partially - Varying endowment betw D R",1,"2","Repeated","Direct","S",11,"N","N","Y","Online","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.335714285714286,0.0816103896103896,0.5,0.128498680440348,NA,NA,NA,NA,0.747058831812704,0.376952403732024,0.741176478345605,0.375630258230352,0.149999999167288,1.00743504660813
"2016Kim003","9",3,"PGG_Norms",2016,"JEEA","Published",NA,"between","PGG","Y",0,"4","OneShot","OnlyNorms","P",1,NA,NA,NA,"Lab","KW","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","6-Complete",NA,NA,0,0.229358927033346,NA,NA,NA,NA,0.844961240310078,0.617202272771327,0.527131782945736,0.325581395348837,0.51937984496124,1.01156107771775
"2016Kim003","8",3,"UG",2016,"JEEA","Published","N","between","UG","Y",1,"2","OneShot","Direct","P",1,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.433976449275362,0.0105704730125746,0.5,0.175968753212046,NA,NA,NA,NA,0.787234042553192,0.563283110685526,0.765957446808511,0.55886524822695,0.411347517730496,1.01058230527982
"2016Kim003","6",3,"TG",2016,"JEEA","Published","N","between","TG","Y",1,"2","Repeated","Direct","S",6,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.509114583333333,0.128715023825355,0.5,0.225305786822901,NA,NA,NA,NA,0.602836879432624,0.500992425885088,0.595744680851064,0.278959810874704,0.25531914893617,1.01058230527982
"2016Kim003","7",3,"DG",2016,"JEEA","Published","N","between","DG","Y",1,"2","OneShot","Direct","P",1,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.250466417910448,0.0380709202566712,0.5,0.0866248308108773,NA,NA,NA,NA,0.829457364341085,0.59463534801609,0.728682170542636,0.483720930232558,0.426356589147287,1.01156107771775
"2013Kru001","1b",1,"bully",2013,"JEEA","Published","Y","between","ToG","no check",NA,"2","OneShot","Direct","P",1,"N","N","Y","Classroom","KW","Y","N",NA,"Y",NA,NA,NA,"N",NA,"Y","6-Complete",0.311111111111111,0.0711949685534591,0.5,0.0439677479206177,NA,NA,NA,NA,0.927173914468807,0.572163109986388,0.883913044048392,0.698521739244461,0.606440219137332,1.00547949307234
"2013Kru001","1a",1,"standard",2013,"JEEA","Published","Y","between","DG","no check",1,"2","OneShot","Direct","P",1,"N","N","Y","Classroom","KW","Y","N",NA,"Y",NA,NA,NA,"N",NA,"Y","6-Complete",0.246153846153846,0.0554751131221719,0.5,0.0962069994192447,NA,NA,NA,NA,0.868785048199591,0.519868891820946,0.729626165650715,0.559797507440932,0.465545170032347,1.00466202993471
