-------------------------------------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  C:\Users\aguido\Documents\GitHub\Social_norm_meta_analysis\Analysis\../prova/output.log
  log type:  text
 opened on:   6 Sep 2023, 08:51:43

. matlist v

             |        c1         c2         c3 
        r101 |  1.603652   .5646557   .0045106 
        r102 |  1.628248   .5335314   .0022745 
        r103 |  1.573121   .4910403    .001357 
        r104 |   1.74051    .516467   .0007516 
        r105 |  1.700122   .5304222   .0013496 
        r106 |   1.61582   .5640104   .0041717 
        r107 |  1.657826   .5355761   .0019654 
        r108 |  1.585173    .529187   .0027401 
        r109 |  1.675934   .5729843   .0034454 
        r110 |  1.560719   .5460048   .0042574 
        r111 |  1.482459   .4963222   .0028183 
        r112 |  1.576899   .5521115   .0042885 
        r113 |  1.574978    .486912    .001218 
        r114 |   1.70907   .5115425   .0008347 
        r115 |  1.726881    .477157   .0002956 
        r116 |  1.633576    .539557   .0024648 
        r117 |  1.698362   .4961597   .0006193 
        r118 |  1.688322    .513293   .0010047 
        r119 |  1.688247   .5417693   .0018321 
        r120 |   1.54093   .5332275   .0038547 
        r121 |   1.57579   .5095489   .0019846 
        r122 |  1.717916   .5155298   .0008612 
        r123 |  1.599865   .5056106    .001555 
        r124 |  1.494672   .5143657   .0036625 
        r125 |  1.657289   .5235538   .0015484 
        r126 |  1.670141   .4835799   .0005529 
        r127 |  1.595838   .5336768   .0027873 
        r128 |  1.664435   .5328203   .0017852 
        r129 |  1.553435   .5562798   .0052296 
        r130 |  1.747877   .5079188    .000579 
        r131 |  1.772721   .4908567   .0003045 
        r132 |  1.729417   .4901822   .0004185 
        r133 |  1.643569   .5188352   .0015359 
        r134 |  1.659121   .4890274   .0006921 
        r135 |  1.614207   .5126186   .0016386 
        r136 |  1.678678   .5454737   .0020877 
        r137 |  1.638176    .560079   .0034457 
        r138 |   1.72551   .5338387   .0012281 
        r139 |   1.54647   .5202946   .0029558 
        r140 |  1.696185   .5141616   .0009705 
        r141 |  1.558252    .465569    .000817 
        r142 |  1.663832   .4975788   .0008262 
        r143 |  1.713983   .4942276   .0005243 
        r144 |  1.641316   .5130632   .0013788 
        r145 |   1.45992   .5558542   .0086282 
        r146 |  1.751706   .4823218   .0002814 
        r147 |  1.693379   .4947291   .0006197 
        r148 |  1.654419   .4874586   .0006889 
        r149 |  1.640759   .5181971    .001544 
        r150 |  1.819177    .570627   .0014324 
        r151 |  1.698919   .5591727   .0023794 
        r152 |   1.65354   .5037378   .0010288 
        r153 |  1.744366   .5255616   .0009032 
        r154 |  1.684741   .5440767   .0019581 
        r155 |  1.532701   .5257428   .0035534 
        r156 |  1.680868   .4580388   .0002428 
        r157 |  1.536596   .4989934   .0020742 
        r158 |  1.717094   .5179818   .0009165 
        r159 |  1.713935   .5391999   .0014796 
        r160 |  1.563919   .5383656   .0036732 
        r161 |  1.563943   .5820745   .0072131 
        r162 |  1.467079   .5639624    .009285 
        r163 |  1.641549   .5278609   .0018721 
        r164 |  1.597965   .5053137   .0015652 
        r165 |  1.865294   .5494234   .0006863 
        r166 |  1.682217   .5528018   .0023418 
        r167 |  1.620537   .4964679    .001098 
        r168 |  1.614383   .5123727   .0016283 
